,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_range,time_signature,track_href,type,uri,valence
25,0.262,https://api.spotify.com/v1/audio-analysis/0H52pnZQuNXWDPvqtjTvxS,0.71,244364.0,0.203,0H52pnZQuNXWDPvqtjTvxS,0.00511,9.0,0.104,-22.056,1.0,0.0511,82.499,long_term,4.0,https://api.spotify.com/v1/tracks/0H52pnZQuNXWDPvqtjTvxS,audio_features,spotify:track:0H52pnZQuNXWDPvqtjTvxS,0.163
26,0.32,https://api.spotify.com/v1/audio-analysis/0wstdZhnrfwxP7RetOCRpl,0.786,201552.0,0.697,0wstdZhnrfwxP7RetOCRpl,0.172,8.0,0.107,-5.161,1.0,0.275,94.495,long_term,4.0,https://api.spotify.com/v1/tracks/0wstdZhnrfwxP7RetOCRpl,audio_features,spotify:track:0wstdZhnrfwxP7RetOCRpl,0.518
27,0.592,https://api.spotify.com/v1/audio-analysis/1gcbDj7nfYolTr09LklGlr,0.781,223584.0,0.426,1gcbDj7nfYolTr09LklGlr,0.571,1.0,0.109,-9.541,1.0,0.0322,104.981,long_term,4.0,https://api.spotify.com/v1/tracks/1gcbDj7nfYolTr09LklGlr,audio_features,spotify:track:1gcbDj7nfYolTr09LklGlr,0.237
28,0.0873,https://api.spotify.com/v1/audio-analysis/4WzF74TMx7FeAYm2YvrK5i,0.821,172112.0,0.0928,4WzF74TMx7FeAYm2YvrK5i,0.192,5.0,0.101,-10.089,0.0,0.19,155.95,long_term,4.0,https://api.spotify.com/v1/tracks/4WzF74TMx7FeAYm2YvrK5i,audio_features,spotify:track:4WzF74TMx7FeAYm2YvrK5i,0.426
29,0.000456,https://api.spotify.com/v1/audio-analysis/0kb67RaD8MDgyRNKgLJaFu,0.784,366422.0,0.548,0kb67RaD8MDgyRNKgLJaFu,0.915,4.0,0.112,-8.294,0.0,0.0764,105.585,long_term,4.0,https://api.spotify.com/v1/tracks/0kb67RaD8MDgyRNKgLJaFu,audio_features,spotify:track:0kb67RaD8MDgyRNKgLJaFu,0.531
30,0.587,https://api.spotify.com/v1/audio-analysis/6zR3jAXgWCs9wmW1r4XGyk,0.551,162973.0,0.357,6zR3jAXgWCs9wmW1r4XGyk,0.000167,2.0,0.123,-8.132,0.0,0.503,184.479,long_term,4.0,https://api.spotify.com/v1/tracks/6zR3jAXgWCs9wmW1r4XGyk,audio_features,spotify:track:6zR3jAXgWCs9wmW1r4XGyk,0.494
31,0.431,https://api.spotify.com/v1/audio-analysis/33wUd3GgaRf2rux2aJ71yb,0.816,234370.0,0.492,33wUd3GgaRf2rux2aJ71yb,0.0899,10.0,0.0995,-7.464,0.0,0.0752,115.989,long_term,4.0,https://api.spotify.com/v1/tracks/33wUd3GgaRf2rux2aJ71yb,audio_features,spotify:track:33wUd3GgaRf2rux2aJ71yb,0.766
32,0.0182,https://api.spotify.com/v1/audio-analysis/2XTfdMl5x2qgGl9ZVjmNhF,0.677,239076.0,0.522,2XTfdMl5x2qgGl9ZVjmNhF,0.477,6.0,0.0838,-10.802,0.0,0.0365,122.993,long_term,4.0,https://api.spotify.com/v1/tracks/2XTfdMl5x2qgGl9ZVjmNhF,audio_features,spotify:track:2XTfdMl5x2qgGl9ZVjmNhF,0.689
33,0.0177,https://api.spotify.com/v1/audio-analysis/47FmTHqPWGWEfbgDpLjvCt,0.632,219840.0,0.646,47FmTHqPWGWEfbgDpLjvCt,0.88,9.0,0.116,-11.398,1.0,0.0385,87.325,long_term,4.0,https://api.spotify.com/v1/tracks/47FmTHqPWGWEfbgDpLjvCt,audio_features,spotify:track:47FmTHqPWGWEfbgDpLjvCt,0.671
34,0.00326,https://api.spotify.com/v1/audio-analysis/61OMeme3atDikStS4QxGIE,0.352,437160.0,0.604,61OMeme3atDikStS4QxGIE,0.00213,4.0,0.208,-12.634,0.0,0.04,202.932,long_term,4.0,https://api.spotify.com/v1/tracks/61OMeme3atDikStS4QxGIE,audio_features,spotify:track:61OMeme3atDikStS4QxGIE,0.465
