,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_range,time_signature,track_href,type,uri,valence
31,0.454,https://api.spotify.com/v1/audio-analysis/5CAztXp7af5FZR9Gbnnwk2,0.585,195067.0,0.347,5CAztXp7af5FZR9Gbnnwk2,1.66e-06,4.0,0.107,-13.157,0.0,0.0925,109.214,long_term,4.0,https://api.spotify.com/v1/tracks/5CAztXp7af5FZR9Gbnnwk2,audio_features,spotify:track:5CAztXp7af5FZR9Gbnnwk2,0.501
32,0.916,https://api.spotify.com/v1/audio-analysis/0E0pBUCKYX5M244qWl05mp,0.538,261983.0,0.245,0E0pBUCKYX5M244qWl05mp,0.843,4.0,0.107,-16.344,1.0,0.0283,139.566,long_term,4.0,https://api.spotify.com/v1/tracks/0E0pBUCKYX5M244qWl05mp,audio_features,spotify:track:0E0pBUCKYX5M244qWl05mp,0.261
33,0.0236,https://api.spotify.com/v1/audio-analysis/736MgYHdLtKTBKGJTutpGz,0.701,199173.0,0.663,736MgYHdLtKTBKGJTutpGz,0.0107,1.0,0.114,-9.076,1.0,0.0277,120.039,long_term,4.0,https://api.spotify.com/v1/tracks/736MgYHdLtKTBKGJTutpGz,audio_features,spotify:track:736MgYHdLtKTBKGJTutpGz,0.281
34,0.382,https://api.spotify.com/v1/audio-analysis/1snNAXmmPXCn0dkF9DaPWw,0.593,282813.0,0.392,1snNAXmmPXCn0dkF9DaPWw,0.000114,10.0,0.131,-6.872,0.0,0.0257,75.065,long_term,4.0,https://api.spotify.com/v1/tracks/1snNAXmmPXCn0dkF9DaPWw,audio_features,spotify:track:1snNAXmmPXCn0dkF9DaPWw,0.25
35,0.245,https://api.spotify.com/v1/audio-analysis/1LzNfuep1bnAUR9skqdHCK,0.42,295600.0,0.33,1LzNfuep1bnAUR9skqdHCK,0.000679,9.0,0.0677,-13.925,1.0,0.0275,157.143,long_term,3.0,https://api.spotify.com/v1/tracks/1LzNfuep1bnAUR9skqdHCK,audio_features,spotify:track:1LzNfuep1bnAUR9skqdHCK,0.175
36,0.000137,https://api.spotify.com/v1/audio-analysis/5YDbSfN5oKWBoeyf9nBA38,0.763,405699.0,0.807,5YDbSfN5oKWBoeyf9nBA38,0.909,5.0,0.295,-7.399,0.0,0.044,124.989,long_term,4.0,https://api.spotify.com/v1/tracks/5YDbSfN5oKWBoeyf9nBA38,audio_features,spotify:track:5YDbSfN5oKWBoeyf9nBA38,0.33
37,0.000741,https://api.spotify.com/v1/audio-analysis/3iCO0ZekWPK6rmLnDjejLB,0.564,180843.0,0.723,3iCO0ZekWPK6rmLnDjejLB,0.672,2.0,0.543,-6.983,0.0,0.0702,121.97,long_term,4.0,https://api.spotify.com/v1/tracks/3iCO0ZekWPK6rmLnDjejLB,audio_features,spotify:track:3iCO0ZekWPK6rmLnDjejLB,0.466
38,0.0576,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,0.559,264307.0,0.345,3d9DChrdc6BOeFsbrZ3Is0,0.000105,4.0,0.141,-13.496,1.0,0.0459,84.581,long_term,4.0,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,audio_features,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,0.458
39,0.275,https://api.spotify.com/v1/audio-analysis/24nL5EXPrdodyCdxXoRRBZ,0.935,198305.0,0.526,24nL5EXPrdodyCdxXoRRBZ,0.238,8.0,0.0673,-8.256,0.0,0.0645,118.009,long_term,4.0,https://api.spotify.com/v1/tracks/24nL5EXPrdodyCdxXoRRBZ,audio_features,spotify:track:24nL5EXPrdodyCdxXoRRBZ,0.778
40,0.367,https://api.spotify.com/v1/audio-analysis/5bJ1DrEM4hNCafcDd1oxHx,0.52,345133.0,0.538,5bJ1DrEM4hNCafcDd1oxHx,0.00187,1.0,0.119,-8.109,1.0,0.206,141.894,long_term,4.0,https://api.spotify.com/v1/tracks/5bJ1DrEM4hNCafcDd1oxHx,audio_features,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,0.177
41,0.6,https://api.spotify.com/v1/audio-analysis/4IsHMzDbRE8q5Z4ALsQj3o,0.791,230500.0,0.329,4IsHMzDbRE8q5Z4ALsQj3o,0.863,10.0,0.193,-12.906,0.0,0.0592,127.021,long_term,4.0,https://api.spotify.com/v1/tracks/4IsHMzDbRE8q5Z4ALsQj3o,audio_features,spotify:track:4IsHMzDbRE8q5Z4ALsQj3o,0.526
42,0.0543,https://api.spotify.com/v1/audio-analysis/34dK493M256BU2UFA9XJ06,0.564,251053.0,0.676,34dK493M256BU2UFA9XJ06,0.0524,11.0,0.106,-10.49,0.0,0.0647,160.039,long_term,4.0,https://api.spotify.com/v1/tracks/34dK493M256BU2UFA9XJ06,audio_features,spotify:track:34dK493M256BU2UFA9XJ06,0.286
43,0.303,https://api.spotify.com/v1/audio-analysis/6tBt0CaRwJ10LVHVQkHDvw,0.69,211603.0,0.426,6tBt0CaRwJ10LVHVQkHDvw,0.00126,11.0,0.0835,-8.964,0.0,0.0374,170.025,long_term,4.0,https://api.spotify.com/v1/tracks/6tBt0CaRwJ10LVHVQkHDvw,audio_features,spotify:track:6tBt0CaRwJ10LVHVQkHDvw,0.673
44,0.0946,https://api.spotify.com/v1/audio-analysis/6vaSStNN5NX4nJ4QbRY3S0,0.391,246587.0,0.692,6vaSStNN5NX4nJ4QbRY3S0,1.58e-05,1.0,0.191,-6.543,0.0,0.0462,180.008,long_term,4.0,https://api.spotify.com/v1/tracks/6vaSStNN5NX4nJ4QbRY3S0,audio_features,spotify:track:6vaSStNN5NX4nJ4QbRY3S0,0.56
